id,content,created_at,nickname,reply,title
2,회원가입 시 인증 이메일이 도착하지 않습니다. 확인 부탁드립니다.,2023-08-01 15:00:00.000000,12344,ㅇㄴㅇㄱㅎㄴㅁㅇㄹ노,회원가입 오류
3,결제 후 확인 이메일이 오지 않습니다. 어떻게 해야 하나요?,2023-08-01 16:00:00.000000,12345,,결제 오류
4,비밀번호를 재설정하려고 하는데 이메일이 오지 않아요. 어떻게 해야 하나요?,2023-08-01 17:00:00.000000,12344,,비밀번호 재설정
5,주문을 취소하고 싶지만 취소 버튼이 보이지 않습니다. 어떻게 해야 하나요?,2023-08-01 18:00:00.000000,12345,,주문 취소
6,계정이 잠겨서 로그인할 수 없습니다. 도움을 요청합니다.,2023-08-01 19:00:00.000000,12344,,계정 잠금
7,주문 배송 주소를 수정하고 싶은데 어떻게 해야 하나요?,2023-08-01 20:00:00.000000,12345,,주소 수정
8,쿠폰을 사용하려고 했는데 적용되지 않습니다. 확인 부탁드립니다.,2023-08-01 21:00:00.000000,12344,,쿠폰 사용 오류
9,결제 수단을 변경하고 싶은데 어떻게 해야 하나요?,2023-08-01 22:00:00.000000,12345,,결제 수단 변경
10,받은 상품이 마음에 들지 않아서 교환하고 싶습니다. 방법을 알려주세요.,2023-08-02 09:00:00.000000,12344,,상품 교환
11,기타 사항에 대해 문의 드립니다. 연락 부탁드립니다.,2023-08-02 10:00:00.000000,12345,,기타 문의
12,로그인 시 오류가 발생합니다. 해결 방법을 알려주세요.,2023-08-02 11:00:00.000000,12344,,로그인 문제
13,주문 내역이 확인되지 않습니다. 확인 방법을 알려주세요.,2023-08-02 12:00:00.000000,12345,,주문 확인
14,상품 환불을 요청하고 싶은데 어떻게 해야 하나요?,2023-08-02 13:00:00.000000,12344,,환불 요청
15,상품 리뷰를 작성하고 싶습니다. 방법을 알려주세요.,2023-08-02 14:00:00.000000,12345,,상품 리뷰
16,배송이 지연되고 있습니다. 상태를 확인해주세요.,2023-08-02 15:00:00.000000,12344,,배송 지연
17,계정을 삭제하고 싶습니다. 방법을 알려주세요.,2023-08-02 16:00:00.000000,12345,,계정 삭제
18,회원 등급 변경을 원합니다. 어떻게 해야 하나요?,2023-08-02 17:00:00.000000,12344,,회원 등급 변경
19,상품 재고가 없는 것 같습니다. 언제 입고되나요?,2023-08-02 18:00:00.000000,12345,,상품 재고
20,구매 내역을 요청합니다. 어떻게 확인하나요?,2023-08-02 19:00:00.000000,12344,,구매 내역 요청
21,추가 배송 주소를 등록하고 싶습니다. 방법을 알려주세요.,2023-08-02 20:00:00.000000,12345,,배송 주소 추가
22,회원정보를 수정하고 싶은데 어떻게 해야 하나요?,2023-08-02 21:00:00.000000,12344,,회원정보 수정
23,상품의 상세 정보를 알고 싶습니다. 확인 부탁드립니다.,2023-08-02 22:00:00.000000,12345,,상품 상세 정보
24,여러 개의 주문을 하나로 합치고 싶습니다. 방법을 알려주세요.,2023-08-03 09:00:00.000000,12344,,주문 합치기
25,배송 상태를 확인하고 싶습니다. 어디서 확인할 수 있나요?,2023-08-03 10:00:00.000000,12345,,배송 상태 확인
26,새로운 쿠폰을 발급받고 싶습니다. 방법을 알려주세요.,2023-08-03 11:00:00.000000,12344,,쿠폰 발급
27,계정 인증이 제대로 이루어지지 않습니다. 도움 부탁드립니다.,2023-08-03 12:00:00.000000,12345,,계정 인증 문제
28,결제 과정에서 오류가 발생했습니다. 해결 방법을 알려주세요.,2023-08-03 13:00:00.000000,12344,,결제 오류 해결
29,상품을 장바구니에 추가하고 싶습니다. 방법을 알려주세요.,2023-08-03 14:00:00.000000,12345,,상품 추가
30,회원 탈퇴를 원합니다. 절차를 알려주세요.,2023-08-03 15:00:00.000000,12344,,회원 탈퇴
31,배송 방법을 변경하고 싶습니다. 어떻게 해야 하나요?,2023-08-03 16:00:00.000000,12345,,배송 방법 변경
32,상품에 오류가 있는 것 같습니다. 확인 부탁드립니다.,2023-08-03 17:00:00.000000,12344,,상품 오류
33,주문한 내용에 오타가 있습니다. 수정하고 싶습니다.,2023-08-03 18:00:00.000000,12345,,주문 내용 수정
34,회원 포인트 사용 방법을 알고 싶습니다. 방법을 알려주세요.,2023-08-03 19:00:00.000000,12344,,회원 포인트
35,주문 처리 상태를 알고 싶습니다. 어디서 확인하나요?,2023-08-03 20:00:00.000000,12345,,주문 처리 상태
