bno,content,reg_date,title,writer,views
76,"안녕하세요, 고객님.
8월 15일 광복절을 맞아 저희 편의점은 하루 휴무합니다.
이용에 참고 부탁드리며, 항상 저희 편의점을 이용해주셔서 감사합니다.
즐거운 광복절 되시길 바랍니다.",2024-08-01,8월 15일 광복절 휴무 안내,admin,0
77,"안녕하세요, 고객님.
무더운 여름을 시원하게 해줄 여름 한정 아이스크림 신상품이 입고되었습니다!
인기 브랜드의 다양한 맛을 즐길 수 있으니, 편의점에 들러 시원한 여름 보내세요.
많은 관심과 이용 부탁드립니다. 감사합니다.",2024-08-01,여름 한정 아이스크림 신상품 입고!,admin,0
78,"안녕하세요, 고객님.
저희 편의점이 더 나은 서비스를 제공하기 위해 리모델링 공사를 진행하게 되었습니다.
공사 기간은 8월 1일부터 8월 7일까지이며, 공사 기간 동안 일부 불편이 있을 수 있으니 양해 부탁드립니다.
빠르게 공사를 마무리하고 더 좋은 모습으로 찾아뵙겠습니다. 감사합니다.",2024-08-01,편의점 리모델링 공사 안내,admin,0
79,"안녕하세요, 고객님.
여름을 맞아 대규모 할인 행사를 진행합니다!
8월 한 달 동안 음료, 스낵, 생활용품 등 다양한 상품을 할인된 가격에 만나보실 수 있습니다.
이번 기회에 필요한 물품을 저렴하게 구매하세요.
많은 이용 부탁드립니다. 감사합니다.",2024-08-01,여름 맞이 대규모 할인 행사!,admin,0
80,"안녕하세요, 고객님.
저희 편의점에서 고객님께서 분실하신 물건을 보관하고 있습니다.
분실하신 물건은 계산대에 문의해주시면 확인 후 찾아드리겠습니다.
항상 저희 편의점을 이용해주셔서 감사합니다.",2024-08-01,분실물 보관 안내,admin,0
81,"안녕하세요, 고객님.
8월 한 달 동안 모든 구매 금액의 2배 포인트를 적립해드립니다!
적립된 포인트로 다양한 혜택을 누려보세요.
많은 참여 부탁드립니다. 감사합니다.",2024-08-01,포인트 적립 이벤트 안내,admin,0
82,"안녕하세요, 고객님.
환경 보호를 위해 일회용품 사용 줄이기 캠페인을 진행합니다.
개인 텀블러를 사용하시면 음료 구매 시 할인 혜택을 드립니다.
많은 참여 부탁드립니다. 감사합니다.",2024-08-01,일회용품 사용 줄이기 캠페인 안내,admin,0
83,"안녕하세요, 고객님.
환경 보호를 위해 8월 1일부터 비닐봉투가 유료화됩니다.
비닐봉투 사용 시 50원의 추가 비용이 발생하오니, 장바구니 사용을 권장드립니다.
고객님의 이해와 협조 부탁드립니다. 감사합니다.",2024-08-01,비닐봉투 유료화 안내,admin,1
84,"안녕하세요, 고객님.
저희 편의점에서 판매된 특정 상품에 문제가 발생하여 리콜을 진행하게 되었습니다.
해당 상품을 구매하신 고객님께서는 매장으로 방문하셔서 환불 또는 교환을 받아주시기 바랍니다.
불편을 드려 죄송합니다.",2024-08-01,상품 리콜 안내,admin,0
85,"안녕하세요, 고객님.
8월 3일 오전 2시부터 4시까지 전자결제 시스템 점검이 있을 예정입니다.
해당 시간 동안 결제 서비스 이용이 어려울 수 있으니 참고 부탁드립니다.
불편을 드려 죄송합니다.",2024-08-01,전자결제 시스템 점검 안내,admin,0
86,"안녕하세요, 고객님.
저희 편의점에서 함께 일할 신입 직원을 채용 중입니다.
관심 있으신 분들은 매장으로 방문하셔서 지원서 작성 부탁드립니다.
많은 지원 바랍니다. 감사합니다.",2024-08-01,신입 직원 채용 안내,admin,0
87,"안녕하세요, 고객님.
저희 편의점이 8월 31일부로 영업을 종료하게 되었습니다.
그동안 저희 편의점을 사랑해주신 고객님께 감사드리며, 더욱 발전된 모습으로 찾아뵙겠습니다.
감사합니다.",2024-08-01,편의점 폐점 안내,admin,0
88,"안녕하세요, 고객님.
다가오는 추석을 맞아 다양한 선물세트를 준비했습니다.
합리적인 가격과 다양한 구성으로 소중한 분들에게 마음을 전하세요.
많은 관심 부탁드립니다. 감사합니다.",2024-08-01,추석 선물세트 판매 안내,admin,0
89,"안녕하세요, 고객님.
저희 편의점에서 제로페이 결제가 가능해졌습니다.
제로페이를 이용하시면 다양한 할인 혜택을 받을 수 있으니 많은 이용 부탁드립니다.
감사합니다.",2024-08-01,제로페이 사용 안내,admin,0
90,"안녕하세요, 고객님.
저희 편의점 화장실은 고객님께서 자유롭게 이용하실 수 있습니다.
깨끗한 환경 유지를 위해 사용 후 정리 부탁드립니다.
감사합니다.",2024-08-01,화장실 이용 안내,admin,0
91,"안녕하세요, 고객님.
저희 편의점은 반려동물 출입이 가능합니다.
단, 다른 고객님들을 위해 목줄을 착용해주시고 배변 처리를 부탁드립니다.
감사합니다.",2024-08-01,반려동물 출입 안내,admin,0
92,"안녕하세요, 고객님.
저희 편의점 방문 시 마스크 착용을 부탁드립니다.
모두의 안전을 위해 협조 부탁드리며, 건강한 하루 보내세요.
감사합니다.",2024-08-01,마스크 착용 안내,admin,0
93,"안녕하세요, 고객님.
매장 내 일부 시설의 긴급 공사가 필요하여 8월 5일에 공사를 진행합니다.
공사 중 일부 불편이 있을 수 있으니 양해 부탁드립니다.
감사합니다.",2024-08-01,긴급 공사 안내,admin,0
94,"안녕하세요, 고객님.
저희 편의점을 이용해주시는 고객님께 감사드리기 위해 특별 이벤트를 준비했습니다.
8월 한 달 동안 구매 금액에 따라 다양한 사은품을 증정합니다.
많은 참여 부탁드립니다. 감사합니다.",2024-08-01,고객 감사 이벤트 안내,admin,0
95,"안녕하세요, 고객님.
저희 편의점에서 다양한 기프트 카드를 판매하고 있습니다.
소중한 분들에게 선물로 전달해보세요.
많은 관심 부탁드립니다. 감사합니다.",2024-08-01,기프트 카드 판매 안내,admin,0
96,"안녕하세요, 고객님.
8월 한 달 동안 유제품 할인 행사를 진행합니다.
다양한 유제품을 저렴한 가격에 구매할 수 있는 기회를 놓치지 마세요.
많은 이용 부탁드립니다. 감사합니다.",2024-08-01,유제품 할인 행사 안내,admin,0
97,"안녕하세요, 고객님.
8월 한 달 동안 신규 회원가입 이벤트를 진행합니다.
회원가입 후 첫 구매 시 할인 쿠폰을 드리니 많은 참여 부탁드립니다.
감사합니다.",2024-08-01,신규 회원가입 이벤트 안내,admin,0
98,"안녕하세요, 고객님.
저희 편의점에서는 야간 시간대(오후 10시 ~ 오전 6시) 모든 상품 10% 할인 행사를 진행합니다.
야간에 방문하셔서 할인 혜택을 누리세요.
감사합니다.",2024-08-01,야간 할인 안내,admin,0
99,"안녕하세요, 고객님.
저희 편의점에 새롭게 ATM 기기가 설치되었습니다.
이제 편리하게 현금 인출 및 송금을 이용하실 수 있습니다.
많은 이용 부탁드립니다. 감사합니다.",2024-08-01,ATM 기기 설치 안내,admin,2
100,"안녕하세요, 고객님.
저희 편의점에서 모바일 결제 서비스가 가능합니다.
간편하게 결제하고 다양한 혜택도 누리세요.
감사합니다.",2024-08-01,모바일 결제 서비스 안내,admin,4
